RAJ2000,DEJ2000,Flux1000
46.6527,60.9463,4.9115545E-10
46.8675,49.2563,1.5638234E-09
46.9586,-4.331,1.3206257E-10
46.9874,74.7153,3.1615026E-09
47.016,-28.8685,1.2216393E-10
47.1119,4.1181,7.0290196E-10
47.2517,-47.0404,4.7416623E-11
47.2609,10.4926,1.5632855E-09
47.281,57.147,4.1348322E-10
47.3665,-40.0158,1.2953978E-10
47.4416,-7.7719,3.2720723E-10
47.4884,-60.9769,2.3145812E-09
47.6607,-50.2933,3.8998765E-10
47.7124,38.2516,4.8895E-10
47.7246,-10.6693,1.8027009E-10
47.7303,-34.9743,1.004009E-10
47.8095,68.9265,1.741448E-10
47.8517,-44.023,1.2727683E-10
47.993,51.8858,2.5861285E-10
48.0466,-9.3482,1.0649629E-09
48.1182,-32.3576,1.00629206E-10
48.1374,-22.3563,3.1226557E-10
48.2075,20.2192,1.6786372E-10
48.2182,1.5635,5.634892E-10
48.2285,36.2401,4.055994E-10
48.2622,41.3177,2.9566727E-10
48.5585,62.2762,3.1320058E-10
48.5911,6.3486,3.244982E-10
48.5929,-51.0614,5.881549E-10
48.6356,-48.0877,1.3148323E-10
48.6898,-65.8139,1.9574202E-10
48.8642,-26.7275,9.641139E-11
48.8771,42.533,1.195324E-10
48.9948,-10.5478,6.029601E-10
49.0494,-56.4469,1.2004478E-10
49.0584,9.0942,1.683044E-09
49.0608,-64.6291,5.121549E-10
49.0724,-26.144,5.450532E-10
49.2275,-6.425,1.3727572E-10
49.2347,41.3436,2.407728E-10
49.4461,-28.0776,1.1961913E-10
49.4754,-44.2332,6.147006E-11
49.5667,2.9103,1.2061167E-09
49.5735,48.3665,1.999907E-10
49.6853,21.5889,7.811367E-10
49.8533,-70.7561,1.09674304E-10
49.9567,-38.2934,1.4160209E-10
49.9591,41.5113,2.973898E-08
49.9679,18.7569,4.7029114E-10
50.3364,4.4098,1.6388337E-10
50.4988,23.5995,1.2923979E-09
50.67,-37.21,5.4546545E-10
50.7383,9.682,1.8861496E-10
50.9431,-1.1884,7.603415E-10
51.1329,-13.2207,1.8040007E-10
51.1895,34.1973,9.121194E-10
51.2149,-20.729,1.1330769E-10
51.2749,-24.2754,1.1772708E-10
51.3494,33.5374,2.0709762E-10
51.3699,-56.5889,4.5803847E-10
51.4183,-16.7812,1.0844001E-09
51.434,22.4241,1.1760224E-09
51.4862,-18.725,1.7210061E-10
51.5764,2.4226,7.4657E-10
51.6918,-34.0708,1.86251E-10
51.915,26.3267,1.2179456E-10
51.9332,58.7076,8.603697E-10
51.9531,58.0707,4.9613497E-10
52.0752,-18.1086,1.9973567E-10
52.1123,-47.6266,1.9510847E-10
52.1343,61.2413,3.7341305E-10
52.1663,-11.4898,2.0681303E-10
52.2137,-57.2559,8.886284E-11
52.5366,50.6333,6.3946026E-10
52.6501,44.2453,1.7305762E-10
52.6801,4.6352,3.899187E-10
52.702,-24.132,1.0257926E-10
52.7726,-52.7261,1.06626104E-10
52.8329,-61.9434,7.8574963E-10
52.9933,63.1292,1.1188311E-09
53.0426,-11.3792,1.7650975E-10
53.2209,15.9575,1.4904589E-10
53.2557,-30.7465,8.9687244E-11
53.3178,82.4557,1.8291714E-10
53.3282,-27.1205,1.3911758E-10
53.3362,2.5487,2.1362248E-10
